Lyrics,Mood
"Ho sognato di volare
Su un arcobaleno
Ti stringevi forte a me per non cadere giù
Nel silenzio io sentivo il tuo respiro intenso
Tra le stelle volavamo un po' più su....

Il sole che nasceva all' orizzonte
E la luna scompariva tra le bianche nuvole
Mille angeli cantavano tutti in coro per noi due
Per un amore già finito e niente più

Angeli lasciatemi dormire ancora un po'
Cantatemi la ninna nanna e coprite gli occhi miei
E con le vostre ali cullatemi nel sogno
E nell' immenso cielo volerò...
E nell' immenso cielo volerò...

Ho riaperto gli occhi al buio..
Sì.. che non c'eri..
Ho creduto di vederti ma eri solo un'illusione
Ho crecato di afferrarti.. non avevo le tue mani!
Ma tu sei volato via senza me.........

Angeli lasciatemi dormire ancora un po'
Cantatemi la ninna nanna e coprite gli occhi miei
E con le vostre ali cullatemi nel sogno
E nell' immenso cielo volerò...
E con le vostre ali cullatemi nel sogno
E nell' immenso cielo volerò..
E nell' immenso cielo volerò..",Happy
"Buongiorno bastardo!!!
Non ci posso credere..
Ne hai di coraggio per tornare qui da me!
Non dirmi, vigliacco, che hai iniziato a crescere
C'è troppo distacco tra un vero uomo e te

Io so bene che non mi conviene darti un'occasione ideale
Per trattarmi male
Non mi freghi neanche se ti pieghi
So che non ti spezzerai mai
Gira.. parti.. e vaiiiiiii!!!!

E' questione di Rispetto
Proprio quello che non hai
E dimentica il mio letto
Tanto non lo rivedrai mai..........

Buongiorno rimorsi!!
Quelli puoi tenerteli..
Con tutti i discorsi che ora sono inutili
Non dirmi che piangi, potrei solo ridere!
Adesso raggiungi i tuoi sporchi simili all' inferno
E restaci in eterno..
Io mi sento libera di amare
Di poter volare!!!!!!!!!!
Ma che dici, noi restare amici??
So che non ci riuscirei mai
Gira.. parti.. e vai!!!!!!!!!!!

E' questione di Rispetto
Proprio quello che non hai
E dimentica il mio letto
Tanto non lo rivedraiiiiiiiiiiiii..
E' questione di Rispetto
Proprio quello che non hai
E dimentica il mio letto
Tanto non lo rivedrai MAI........",Sad
"MadMan 2012 zio machete mixtape.
(waaah) Bella salmo,Bella raton,Bella en?gma,Bella slait,Bella a tutti quanti.
Yeah! Bella pole,Bella ombra sul beat. (woooo)
(Vai!)

Il mio rap è un tiro di ganja con l'ammoniaca
Sto fatto di viakal al buio una risata demoniaca
Il male in forma pura senza montatura
In una Chevy Nova scura all'ombra senza cromatura (cromatura)
Troppi neuroni partono suoni prigioni intrappolo
Lo sporco il macabro il sogno di un parroco (Che cazzo??!!)
O mi sedano il fegato o me lo spappolo
Il disagio esplode ci circonda frà è una bomba a grappolo
Il globo in senso inverso mo tutto s'inverte (waaah)
Così che il sacro è perverso mentre il massacro diverte (waaah)
Il messaggio è che vinco se sono un deficiente (eeeh)
Il messaggio è che ricco vuol dire intelligente(aaah)
In bilico sull'ultimo scoglio quello più ripido
Scopro il codice criptico nel trittico
Rap post-apocalittico (ah) che costa poco rippalo (ah)
Dopo mezz'ora ti perfora un timpano",Happy
"Hei tu
Guarda quì
Senti gli 
Beccati questo suono tremendo
Fai un passo avanti!
Un passo avanti!
Un passo avanti!
Un passo avanti!
Oo bravissimo!
Oo bravissimi!
Un passo avanti!
Un passo avanti!",Sad
"Je suis desolée
Lo siento
Sono spiacente
Perdóname

I don't wanna hear, I don't wanna know
Please don't say you're sorry
I've heard it all before
And I can take care of myself
I don't wanna hear, I don't wanna know
Please don't say forgive me
I've seen it all before
And I can't take it anymore

Je suis desolée
Lo siento
Sono spiacente
Perdóname

I don't wanna hear, I don't wanna know
Please don't say you're sorry
I've heard it all before
And I can take care of myself
I don't wanna hear, I don't wanna know
Please don't say forgive me
I've seen it all before
And I can't take it anymore

(I don't wanna hear, I don't wanna know)
(I don't wanna hear, I don't wanna know)

Je suis desolée
Lo siento
Sono spiacente
Perdóname

I've heard it all before
I've heard it all before...
Please don't say you're sorry
Sorry
Sorry...

(I don't wanna hear, I don't wanna know)
(I don't wanna hear, I don't wanna know)
Sorry
Sorry...",Sad
"Tu lo sai non è da me
Nascondere le mie idee
Tu che mi conosci un po'
Che hai visto la mia anima in fiamme, tu
Resta qui, resta qui
Non andare
Resta qui, resta qui
Qui con me
Resta qui, resta qui
Ad ascoltare
Resta qui, resta qui
Ancora un po'

Non potrei mai cambiare i miei pensieri adesso
Non potrei mai tornare come ieri adesso

Se ti guardo ancora un po'
Vorrei, vorrei, vorrei mandarti via
Io che ho visto cose di te difficili da decifrare
Ma tu
Resta qui, resta qui
Non andare
Resta qui, resta qui
Qui con me
Resta qui, resta qui
E non parlare
Resta qui, resta qui
Ancora un po'

Non potrei mai cambiare i miei pensieri adesso
Non potrei mai tornare come ieri adesso
Io vorrei catturare i tuoi pensieri adesso
Io vorrei non sentire il vuoto addosso",Happy
"(Musica: Marcelli/Destefano Testo: Destefano)

Conosco/il traffico/nell'ora/di punta
Il traffico dei miei pensieri
Ascolto/il treno che/arriva 
Il treno fragile dei desideri

Bellezza/sottile ebbrezza
Concedimi ancora tempo

RIT.
A VOLTE IO MI PERDO NELLE STRADE DELLA MIA
FELICITA'…FELICITA'
A VOLTE IO MI PERDO NELLE STRADE DELLA MIA 
NORMALITA'…NORMALITA'

Conosco/la verità del gioco/e adesso
Vedo tutto a poco a poco
Conosco/l'avidità e mi vedo
Caduta in una caduta che fine non ha

Bellezza/dolce amarezza
Concedimi ancora del tempo

RIT.
A VOLTE IO MI PERDO NELLE STRADE DELLA MIA
FELICITA'…FELICITA'
A VOLTE IO MI PERDO NELLE STRADE DELLA MIA 
NORMALITA'…NORMALITA'
A VOLTE IO MI PERDO NELLE STRADE DELLA MIA
DIVERSITA'…DIVERSITA'
A VOLTE IO MI PERDO NELLE STRADE DELLA MIA 
NORMALITA'… DIVERSITA'… FELICITA'",Happy
"(Musica: Marcelli/Destefano Testo: Destefano)

Se penso che/domani è già/il mio compleanno
Non riesco mai/a capire davvero/il regalo che voglio

Qualcosa che mi aiuti a stare bene qui con me

RIT.
VOGLIO IMPARARE A CAMMINARE
A PIEDI NUDI SENZA NIENTE A CUI PENSARE
E RICORDARE LA DIFFERENZA
TRA DIRE E FARE, L'ILLUSIONE DAL REALE

Se penso che/non saprò mai/chi sei veramente
Non dire mai/quello che non farai/non essere mai sicuro

Credimi oppure no
Prendi tutto o solo un po'
Non lasciare che nessuno scelga la tua via

E poi lo sai, voglio il più bel regalo che ho avuto mai…

RIT.
VOGLIO IMPARARE A CAMMINARE
A PIEDI NUDI SENZA NIENTE A CUI PENSARE
E RICORDARE COME GIOCARE
COI DESIDERI E CON LE STORIE DA INVENTARE
ELIMINARE LA DIFFERENZA
TRA DIRE E FARE L'ILLUSIONE DAL REALE
ACCELERARE E POI VOLARE
NEL CIELO APERTO CON LA LUNA O CON IL SOLE",Happy
"Calma
Tutto torna così
Calma
Tutto deve tornare alla calma
Calma
Questa calma di sempre
Calma
È già tutto passato
Tutto passato…
Pace
Tutto deve tacere…sssshhh
Pace non si deve parlare di niente
Pace
Per la quiete comune
Pace…

Oggi oggi resto qui
Non mi importa di niente perché non mi importa
Non mi importa degli altri di cadere un po'
Oggi non ho pietà dico oggi non ho pietà
Di me, di me, di me, di me

Calma
Oggi torno così
Calma
Oggi devo tornare alla calma
Calma
La mia calma di sempre
Calma

Oggi oggi resto qui
Non mi importa di niente perché non mi importa
Non mi importa degli altri di cadere un po'
Oggi non ho pietà dico oggi non ho pietà
Di me, di me, di me, di me",Happy
"(Musica: Marcelli/Destefano Testo: Destefano)

Sembrerò fragile
Sembrerò quasi normale
Sembrerò docile
Sembrerò un serpente speciale

Vieni da me/quando vorrai /vieni da me/ora
Non lasciare che sia/una notte normale
Sarò così/ come vorrai/sarò così/ora
Un'amante che sa/l'egoismo che l'amore libera...

ADESSO SAI CHI SONO IO, ADESSO SAI CHI SONO 
(ADESSO SAI CHI SONO) LASCIAMI BERE - ANCORA
ADESSO SAI CHI SONO IO ADESSO SAI CHI SONO - LASCIAMI -
ADESSO SAI CHI SONO, LASCIAMI ANDARE ORA

Io non ho verità
Sono qui senza respiro
Sembrerò libera
Ma di te io non so fare a meno

Vieni da me/come vorrai/vieni da me/ora
Io sarò come se non avessi paura
Sarò così/ come vorrai/sarò così/ora
Con il buio che c'è/a cercare di levarti l'anima

ADESSO SAI CHI SONO IO ADESSO SAI CHI SONO - LASCIAMI -
ADESSO SAI CHI SONO
LASCIAMI BERE ANCORA
ADESSO SAI CHI SONO IO ADESSO SAI CHI SONO - LASCIAMI -
ADESSO SAI CHI SONO
Mi prenderò cura di te/diventerai parte di me/esisterai solo per me
Ho bisogno di levarti l'anima",Sad
"Certamente passerà qui su di me
Sicuramente non mi rimarrà
Quasi niente
Tornerò alla verità
Ma latente la tua voce suonerà…suonerà
Chiaramente poco tempo durerà
E velocemente l'impazienza
Prima o poi scomparirà
Nella mia mente tutto si cancellerà
Però latente la tua voce…la tua voce giocherà

Aspetto qui, aspetto
Il temporale aspetto
Che questo caldo arrivi alla fine
Non riesco a dormire
Aspetto qui, aspetto
Il temporale aspetto
Che questo caldo arrivi alla fine
E mi faccia dormire

Certamente passerà qui su di me
Immediatamente io mi scorderò di te
Completamente tornerò alla realtà
E lentamente la tua voce…la tua voce se ne andrà

Aspetto qui, aspetto
Il temporale aspetto
Che questo caldo arrivi alla fine
Non riesco a dormire
Aspetto qui, aspetto
Il temporale aspetto
Che questo caldo arrivi alla fine
E mi faccia dormire",Sad
"Io sono il tuo dio
E ti parlo da questo deserto di noia veloce scaduta
Io sono l'oblio
Dei momenti che a volte ricordi violenti pesanti no future

I segreti di stato
Le morti annunciate bambine vendute rubate
Le puttane sul viale
Le mine anti uomo
Memorie cambiate
Murate

Io sono via cavo
Le parole gridate a copione contento e preciso smile

I segreti di stato
Le morti annunciate bambine vendute rubate
Le puttane sul viale
Le mine anti uomo
Memorie cambiate
Fantasie riciclate
I libri buttati
Catene di supermercati
Malattie senza cura
Cremine spalmate
Le ossa ammucchiate…

Egoegoegoego
Rinchiudo la mente
E ancora
Dico, ancora
Ancora
Violenza ingoio
Glub",Sad
"Tramonto di vento pulisce il cielo da ogni pensiero
Tramonto padano di vento ignorante ti vedo così
Pianura di nebbia mi sembra cambiata ma è solo un miraggio
La mente riposa la volta acquarello e ventomania

Tramonto di fumo di macchine accese nell'ora di punta
Tramonto a colori per noi minatori d'ufficio al viacard
La testa
Rinchiusa nel mare di grano
Sull'erba
Si infrangono onde di terra

Cadono le illusioni
Passano le stazioni

Tramonto di noia di zero ricordi tramonto da fare a
Memoria tramonto di strada che passa sui campi che porta 
Pensieri
Domani nessuno ricorda
Tormenti
Calati col sole che torna

Cambiano le prigioni
Passano le stagioni

Tramonto di vento pulisce il cielo da ogni pensiero
Tramonto di vento pulisce il cielo 

Cambiano le emozioni
Passano le canzoni

Giro girotondo casca il mondo casca la terra tutti giù per terra
Giro girotondo casca il mondo casca la terra tutti a far la guerra
Giro girotondo casca il mondo casca la terra tutti sotto terra
Giro girotondo casca il mondo casca la terra siamo ancora terra",Happy
"Sai, io credo che
Ognuno di noi ha un angelo, un angelo
Sopra di sé
Un angelo che sente
Quello che 
Non si dicembre ma se è così
Allora non c'è segreto che
Resista un po'
Sanno di noi
Le frasi più violente
Quelle che non usciranno

Divini messaggeri 
Di tutti i miei pensieri
All'infinita linea di confine noi
Vicina vibrazione
Un'altra piccola illusione
All'infinita linea dei minuti e poi
È questione di tempo…

Sai io credo che 
I sogni che ci rimangono a volte
Dentro di noi
Aleggiano pesanti
Come se fossero verità

Se la mente rimane ancorata alle mani
Se l'eterno è l'assenza di tempo
L'angelo e l'uomo avranno ancora un motivo di invidia

Divini messaggeri 
Di tutti i miei pensieri
All'infinita linea di confine noi
Vicina vibrazione
Un'altra piccola illusione
All'infinita linea dei minuti e poi
È questione di tempo…

È come percepire un'altra dimensione
Allungare la nostra mano a un'antica emozione
Ci sentite vi sentiamo aspettiamo felici la caduta del giorno
Per vedere i vostri corpi controluce per avere una risposta veloce
Sorvolare di mezzo le frequenze comuni
Superare in un istante le paure mortali… superare in un istante le paure mortali",Sad
"(Musica: Marcelli/Destefano Testo: Destefano)

Come vorrei collegarmi con il mio cervello di notte
Come vorrei scaricare i sogni che non riesco mai
A riprendere quando mi sveglio
Solo un fremito al mio risveglio

Cosa darei veramente per attraversare la soglia
Troverei i miei desideri ma senza la realtà
Che mi limita e non mi accontenta
Io mi libero ma lei mi spaventa

RIT.
VIVI COME FOSSE TUTTO CIO' CHE HAI TRA LE MANI, TRA LE MANI
VIVI COME FOSSE UN SOGNO CHE HAI TRA LE MANI

Come vorrei superare le barriere che ho nella testa
Come vorrei avvicinare il sogno alla realtà
Senza perdere neanche un momento
Come se qui non ci fosse più tempo

RIT.
VIVI COME FOSSE TUTTO CIO' CHE HAI TRA LE MANI, NELLE MANI
VIVI COME FOSSE UN SOGNO CHE HAI NELLE MANI
VIVI COME FOSSE TUTTO CIO' CHE HAI TRA LE MANI, NELLE MANI
VIVI COME FOSSE UN SOGNO CHE HAI NELLE MANI

Mi sentirai nei sogni che fai
Mi cercherai tra le mani che hai
Ti sveglierai anche se non vorrai
Ti stupirai
Ti perderai

RIT.
VIVI COME FOSSE TUTTO CIO' CHE HAI TRA LE MANI, NELLE MANI
VIVI COME FOSSE UN SOGNO CHE HAI NELLE MANI
MI SENTIRAI NEI SOGNI CHE FAI
MI CERCHERAI TRA LE MANI CHE HAI
TI SVEGLIERAI ANCHE SE NON VORRAI
TI STUPIRAI
TI PERDERAI",Sad
"E non mi fermo
E non mi stanco
Di camminare sul cemento
Devo volare
Devo giocare
Devo capire quando andare
E non mi dire
Che tutto quanto finisce
E non mi dire dove sarò

È tutto vero
È tutto chiaro
È nel silenzio come uno sparo bang
Non c'è la nebbia 
Che ti confonde
In queste notti di novembre down
E non mi dire
Che poi la vita ti cambia 
E non mi dire dove sarò

Viaggio lungo viaggio corto
Viaggio quanto basterà

E non mi fermo
E non mi stanco
Di camminare sul cemento
Sono a colori
O in bianco e nero
Un megaschermo di pensiero
E non mi dire
Che poi la vita ti cambia 
E non mi dire dove sarò

Viaggio lungo viaggio corto
Viaggio quanto basterà

Il viaggio non finisce
Il viaggio non si ferma mai",Happy
"Perché tante pagine grige
Il giorno ha finito i colori
Ci stiamo perdendo per strada
O in due direzioni
Ricordi la luna com'era vicina
Quando ci siamo incontrati

L'amor poi ci dividerà

Il nostro momento è svanito
Il fiume si è già prosciugato
Ti spio alla luce del giorno
Ma quando è cominciato
Sorridi
Guardi altrove
Io ti leggo nel pensiero

L'amor poi ci dividerà

Le parole sono spari nel buio
Fanno male senza avere intenzione
O conoscono la direzione
Proprio dritte e ferme colpiscono
Frasi uscite dalla bocca, pensieri
Leggi in fondo agli occhi desideri
Il mistero genera tensione…

L'amor poi ci dividerà",Happy
"Che peccato, che peccato
Un amore mai usato
Come nuovo sigillato
Con il prezzo incollato
Codificato
Che peccato che peccato
Un amore rifiutato
Non appena concepito
Troppo in fretta abortito
Allontanato
Ed io
Avrei voluto io
Averti un po' di più
Vicino a queste mani
E poi la libertà che c'è
Non è abbastanza grande
Per dare un po' di pace

Amore legato
Di colpo sei scappato
Amore sognato
Io non ti ho mai toccato
Amore caduto
Dal cielo frantumato
Amore sfiorato
In gola si è incastrato

Che peccato che peccato
Un amore cestinato
Nei rifiuti affondato senza essere guardato
Difettato

Amore legato
Di colpo sei scappato
Amore sognato
Io non ti ho mai toccato
Amore caduto
Dal cielo frantumato
Amore sfiorato
In gola si è incastrato",Happy
"(Musica: Marcelli/Destefano Testo: Destefano)

Parlerò/come se/fossi chiara ed infrangibile
Sarò io/come te/parlerò senza dire niente

Apri le braccia e volerai/schiudi le tue mani e sentirai/
Quello che il mondo vuole dire adesso/
Per dare una risposta sincera e reale/su quello che non sai…

RIT.
E SCOPRIRAI LA LIBERTA'
DI LASCIARSI CULLARE DALLA VITA CHE VERRA'
E LASCERAI CHE IL TEMPO SIA LA CURA MIGLIORE

Parlerò/come se/questo salto/fosse proprio semplice
Riderai/anche delle tue piccole fragili complicazioni

(e tutto apparirà/così liquido/che potrai bere/che potrai bere)
Apri i tuoi occhi e capirai/schiudi la tua mente e scoprirai/
Quello che il mondo vuole dire adesso/
Avere una risposta vicina e reale/su quello che vorrai…
Su quello che non sai

RIT.
E SCOPRIRAI LA LIBERTA'
DI LASCIARSI CULLARE DALLA VITA CHE VERRA'
E GUARDERAI LE ONDE CHE
NON AVRANNO MAI FINE COME IL MARE DENTRO TE
E LASCERO CHE IL TEMPO SIA LA CURA MIGLIORE

Apri le braccia e volerai/schiudi le mani e sentirai
Quello che il mondo vuole dire adesso/per darti una risposta",Sad
"Ho avuto tempo di capire che non c'è
Mai abbastanza tempo per decidere 
Quale strada seguire da che parte del mondo guardare
Ho avuto modo di intuire che è così
Talmente semplice quasi lineare
Basta avere coraggio nelle curve più difficili
E questa lingua d'asfalto
Ma chissà dove mi porta
Con questo stare davanti
Se riuscirò alla fine a farmi del male
Alla luce del giorno
Che non illumina tutto
E questo perdere i sensi
Senza neanche un motivo

Lascia che si liberi la vera entità
Slegami e non avere più paure…paure

Ho avuto mare per lavare le mie idee
Asciugate al sole poche nuvole
Davvero caldo il cielo iberico

E questo sole d'agosto
Ritorna sempre più forte
Con questa voglia di viaggio
Se riuscirò alla fine a farmi del male
Alla luna di notte
Che non illumina tutto
E questo perdere i sensi
Senza neanche un motivo

Lascia che si liberi la vera entità
Slegami e non avere più paure…paure
Lascia che si liberi la vera entità delle cose
Slegami e non avere più paure…paure di volare",Happy
"In questo momento
Di grande decisione
Di forte posizione
Mi sento un attimo
Fuori centratura
Fuori, fuori di misura

Ascolta volevo dirti che non c'è bisogno di parlare
Di giurare il falso
O raccontarsi tutto quanto
Io credo che ci serva da mangiare
Qualche cosa da spalmare
Così per ammorbidire il nostro muro

Io credo al tempo
Che porta la decenza
Che toglie l'incoscienza
Vorrei tornare
A quando mi bastava
Correre da sola

Adesso io ti chiedo non cambiare quel tuo modo di guardare
Certe volte, dico, ogni tanto le persone
È facile lasciare le sincerità morire
Sotto un cumulo di sassi
Che la gente lancia addosso…
Addosso a noi",Sad
